id,question
1,"What has influenced your decision to pursue a career in medicine?"
2,"Why are you choosing medicine rather than nursing, pharmacy, dentistry or another healthcare profession?"
3,"In what ways have you explored whether medicine is genuinely the right career for you?"
4,"Which experiences have helped prepare you for studying medicine?"
5,"What lessons did you take from your work experience or clinical exposure?"
6,"If you have taken a gap year, how have you used that time and what has it taught you?"
7,"If you did not receive a medical school offer this year, what would your next step be?"
8,"Where do you hope to be professionally in around ten years?"
9,"Are there any areas of medicine that particularly interest you at the moment? Why?"
10,"What would you most like to achieve during your career as a doctor?"
11,"What do you see as the biggest advantages and disadvantages of being a doctor?"
12,"What aspects of becoming a doctor are you most excited about?"
13,"What aspects of a medical career concern you or appeal to you least?"
14,"What might lead someone to leave medical practice after qualifying, and what does this tell you about the demands of the career?"
15,"Compare a doctor's working life now with medical practice a century ago. Which changes have most affected the role?"
16,"Beyond diagnosing and treating illness, what other responsibilities do doctors have?"
17,"How would you explain what holistic or whole-person care means to you?"
18,"In what ways is technology changing the role of doctors?"
19,"Which people might be included in the multidisciplinary team caring for a patient?"
20,"Why do you think teaching is an important part of medicine?"
21,"Which people do doctors have a responsibility to teach?"
22,"Would you personally like teaching to form part of your future medical career? Why?"
23,"What do you imagine day-to-day life as a medical student is actually like?"
24,"In what ways have the responsibilities of nurses and other healthcare professionals changed over time?"
25,"How do hospital services and community care each contribute to meeting patients' needs? Discuss where healthcare takes place."
26,"Which challenges do you expect to face during a medical career?"
27,"How might you manage the pressures associated with studying and practising medicine?"
28,"Describe a medical or healthcare issue you have recently read about."
29,"What could make a healthcare setting stressful for patients or staff, and how might that stress develop into anger or aggression?"
30,"What do you feel makes medicine different from many other careers?"
31,"Which qualities distinguish an excellent doctor from an average one?"
32,"A clinician has excellent medical knowledge but struggles to explain decisions. How would you weigh communication against clinical expertise when judging their care?"
33,"How would you explain what patient-centred care means?"
34,"Why do you think empathy is important in medicine?"
35,"Can empathy ever make a doctor's work more difficult? Discuss how to remain compassionate while making sound clinical decisions."
36,"How would you explain what professionalism means in healthcare?"
37,"Think about the responsibilities attached to a doctor's role beyond a single consultation. Who else is affected by their decisions?"
38,"How could doctors balance compassion with professional boundaries?"
39,"How would you explain what continuity of care means, and why does it matter?"
40,"How could doctors work effectively with nurses, pharmacists, physiotherapists and other healthcare professionals?"
41,"Why does a doctor need to keep learning throughout their career?"
42,"How could doctors respond when medical evidence or guidance changes?"
43,"Which role should doctors play in disease prevention?"
44,"Should expectations about healthy behaviour apply to doctors outside work? Explain how you would balance their example to patients with their private lives."
45,"Which responsibilities do doctors have towards public health?"
46,"How would you explain what advocacy means in the context of being a doctor?"
47,"How could a doctor respond when they do not know the answer to something?"
48,"Why do you think recognising your own limitations is important in medicine?"
49,"What would you include when explaining clinical leadership?"
50,"How could doctors contribute to improving healthcare systems as well as treating individual patients?"
51,"Why are you especially interested in studying at this particular medical school?"
52,"Many universities offer similar teaching methods. What in particular attracts you to this course?"
53,"Which aspects of this medical school appeal to you most?"
54,"Which aspects of this course would suit you least, and why?"
55,"What do you understand so far by problem-based learning or PBL?"
56,"In what ways does problem-based learning differ from more traditional teaching?"
57,"What do you see as the main advantages of problem-based learning?"
58,"Which potential disadvantages does PBL have?"
59,"What do you see as the strengths of lecture-based teaching?"
60,"What do you see as the limitations of relying heavily on lectures?"
61,"How would you define an integrated medical curriculum?"
62,"Which advantages can an integrated course offer?"
63,"Which difficulties might students encounter on an integrated course?"
64,"What do you already know about the structure of this medical degree?"
65,"Why do you think this course suits the way you learn?"
66,"How might you adapt if the teaching style were different from what you were used to?"
67,"Medicine involves a large amount of independent study. How might you manage that?"
68,"How might you balance academic work, clinical placements and life outside medicine?"
69,"How might you approach a topic you found particularly difficult?"
70,"After starting medical school, you find that your marks are well below your previous standard. How would you work out what is going wrong and decide what to do?"
71,"How might you describe your communication skills?"
72,"In what ways have you developed your ability to communicate with others?"
73,"Would you personally describe yourself as empathetic? Why?"
74,"Describe a situation where good communication changed the outcome."
75,"How might you communicate with a patient who was frightened?"
76,"How might you approach a patient who was angry or frustrated?"
